2017-12-12 18:49:03,070 INFO The engine is scanning, the runId is 450204, scanId is -1, and status is WaitingToProcess 
2017-12-12 18:49:03,131 INFO The engine is scanning, the runId is 450204, scanId is -1, and status is WaitingToProcess 
2017-12-12 18:49:03,196 INFO The engine is scanning, the runId is 450204, scanId is -1, and status is WaitingToProcess 
2017-12-12 18:49:03,259 INFO The engine is scanning, the runId is 450204, scanId is -1, and status is WaitingToProcess 
2017-12-12 18:49:03,327 INFO The engine is scanning, the runId is 450204, scanId is -1, and status is WaitingToProcess 
2017-12-12 18:49:03,396 INFO The engine is scanning, the runId is 450204, scanId is -1, and status is WaitingToProcess 
2017-12-12 18:49:03,462 INFO The engine is scanning, the runId is 450204, scanId is -1, and status is WaitingToProcess 
2017-12-12 18:49:03,526 INFO The engine is scanning, the runId is 450204, scanId is -1, and status is WaitingToProcess 
2017-12-12 18:49:03,591 INFO The engine is scanning, the runId is 450204, scanId is -1, and status is WaitingToProcess 
2017-12-12 18:49:03,654 INFO The engine is scanning, the runId is 450204, scanId is -1, and status is WaitingToProcess 
2017-12-12 18:49:03,727 INFO The engine is scanning, the runId is 450204, scanId is -1, and status is WaitingToProcess 
2017-12-12 18:49:03,790 INFO The engine is scanning, the runId is 450204, scanId is -1, and status is WaitingToProcess 
2017-12-12 18:49:03,852 INFO The engine is scanning, the runId is 450204, scanId is -1, and status is WaitingToProcess 
2017-12-12 18:49:03,920 INFO The engine is scanning, the runId is 450204, scanId is -1, and status is WaitingToProcess 
2017-12-12 18:49:03,987 INFO The engine is scanning, the runId is 450204, scanId is -1, and status is WaitingToProcess 
2017-12-12 18:49:04,051 INFO The engine is scanning, the runId is 450204, scanId is -1, and status is WaitingToProcess 
2017-12-12 18:49:04,117 INFO The engine is scanning, the runId is 450204, scanId is -1, and status is WaitingToProcess 
2017-12-12 18:49:04,184 INFO The engine is scanning, the runId is 450204, scanId is -1, and status is WaitingToProcess 
2017-12-12 18:49:04,250 INFO The engine is scanning, the runId is 450204, scanId is -1, and status is WaitingToProcess 
2017-12-12 18:49:04,314 INFO The engine is scanning, the runId is 450204, scanId is -1, and status is WaitingToProcess 
